,Glucan,+,-,± (Probability),Hemicellulose,+,-,± (Probability),Lignin,+,-,± (Probability),Pseudo-Lignin
Miscanthus 155 C 15% Solids 1 h,91.03308440446881,1e-05,13.290873177732934,5.864003452893148,-0.022013498522929886,3.3759053723840653,1.5628907082363943,3.132440562497346,10.210336567094036,6.329076565533786,1e-05,3.3008171506389967,-0.5067580696798295
Miscanthus 155 C 15% Solids 70',92.8382514028619,3.4483736225068213,7.483989958674556,5.39256513136354,2.170983812502655,1.0358444887513305,0.9340197565696267,2.97673799579293,6.9103758769349,5.3293167740795795,1.9238960550912516,3.0975291085964756,1.2665730701635667
Miscanthus 155 C 25% Solids 1 h,92.01887496449501,0.8807992457283689,2.5417587283948677,5.4911345991391345,-1.023340627603197,5.64889889646123,1e-05,3.078311935116248,11.560268942906006,1e-05,5.462818628590416,3.332827273244389,-1.828985327890278
Miscanthus 155 C 25% Solids 70',93.14704815466551,8.685422011120025,5.8197353231330595,5.912917882726816,0.3305333095751575,3.634607797062812,3.7179182562204565,3.2279772230346744,7.590590755450032,0.08223821889122718,2.4497625900612316,3.333408925023838,-0.4856499710769082
