,Glucan,+,-,Hemicellulose,+,-,Lignin,+,-,Glucan ± (Probability),Hemicellulose ± (Probability),Lignin ± (Probability)
Miscanthus 155 C 15% Solids 1 h,88.90379202474641,1e-05,0.8415881483515477,2.5407547595000044,4.214742096281196,2.6918864391858217,9.64346973477524,5.057455836248971,6.120152022135228,5.8759058832283815,3.2018831218648396,3.8484036597983637
Miscanthus 155 C 15% Solids 70',91.48772059825026,4.40994715824894,2.433767185663413,1.7955583289660595,0.010247965692699257,0.12057234373537273,8.842919564976414,2.700992034401324,4.443617182171707,5.781883059335513,3.0831017388855972,3.8041023450158313
Miscanthus 155 C 25% Solids 1 h,91.18350402816333,3.7590411514559037,2.6194468465840686,1.3805234027752116,3.4017485640834924,2.3405269907174677,8.045295595218983,0.1751324284336082,2.8541636386065736,5.772842081647694,3.140965343618654,3.7960803213378784
Miscanthus 155 C 25% Solids 70',92.86410826461417,3.976237068807137,7.630368818148739,-1.5950818283904313,2.9745192519009063,0.8292466243840471,11.196782577297592,2.6544742262852505,2.524551942726605,5.813719624208515,3.129748816141551,3.8192787814971085
