,Glucan,+,-,Hemicellulose,+,-,Lignin,+,-,Pseudo-Lignin,Glucan ± (Probability),Hemicellulose ± (Probability),Lignin ± (Probability)
Miscanthus 155 C 15% Solids 1 h,91.5119395124623,1e-05,3.4497356360674445,2.1679314621639474,4.587565393617253,2.3190631418497647,7.837905020208435,6.863020550815776,4.314587307568424,1.8055647145668043,5.463804313275902,3.0196451772860393,3.2306798842662663
Miscanthus 155 C 15% Solids 70',93.5447027029164,2.352965053582807,4.490749290329546,1.2970118638450714,0.5087944308136874,1e-05,7.77339645737737,3.7705151420003684,3.374094074572662,1.0695231075990446,5.456532225490008,2.9900470527915064,3.1747767407765255
Miscanthus 155 C 25% Solids 1 h,91.46614805529262,3.47639712432661,2.9020908737133624,-0.33851054909563416,5.120782515954338,0.621493038846622,10.439704766617925,1e-05,5.248572810005516,-2.3944091713989426,5.361858498154198,3.0027017945071153,3.196801238874201
Miscanthus 155 C 25% Solids 70',91.8843589317232,4.955986401698112,6.650619485257764,-0.8963891424503636,2.2758265659608385,1.5279393103241148,10.938583388354008,2.9126734152288343,2.2663527537830213,0.25819918894358374,5.957914354950987,3.2565177998547594,3.361630512826672
